,Season,Team,Lg,Salary,Player Link
0,2018-19,Atlanta Hawks,NBA,"$1,620,480",/players/s/spellom01.html
1,2019-20,Minnesota Timberwolves,NBA,"$1,897,800",/players/s/spellom01.html
2,2020-21,New York Knicks,NBA,"$1,988,280",/players/s/spellom01.html
3,1993-94,Golden State Warriors,NBA,"$250,000",/players/s/spencan01.html
4,1992-93,Los Angeles Clippers,NBA,"$438,000",/players/s/spencel01.html
5,1993-94,Los Angeles Clippers,NBA,"$569,000",/players/s/spencel01.html
6,1994-95,Los Angeles Clippers,NBA,"$700,000",/players/s/spencel01.html
7,1997-98,Denver Nuggets,NBA,"$2,050,000",/players/s/spencel01.html
8,1990-91,Minnesota Timberwolves,NBA,"$1,070,000",/players/s/spencfe01.html
9,1991-92,Minnesota Timberwolves,NBA,"$1,340,000",/players/s/spencfe01.html
10,1992-93,Minnesota Timberwolves,NBA,"$1,610,000",/players/s/spencfe01.html
11,1993-94,Utah Jazz,NBA,"$1,581,000",/players/s/spencfe01.html
12,1994-95,Utah Jazz,NBA,"$1,881,250",/players/s/spencfe01.html
13,1995-96,Utah Jazz,NBA,"$2,181,000",/players/s/spencfe01.html
14,1996-97,Golden State Warriors,NBA,"$2,694,000",/players/s/spencfe01.html
15,1997-98,Golden State Warriors,NBA,"$2,178,099",/players/s/spencfe01.html
16,1998-99,Golden State Warriors,NBA,"$1,650,000",/players/s/spencfe01.html
17,1999-00,San Antonio Spurs,NBA,"$510,000",/players/s/spencfe01.html
18,2000-01,New York Knicks,NBA,"$1,000,000",/players/s/spencfe01.html
19,2001-02,New York Knicks,NBA,"$1,000,000",/players/s/spencfe01.html
20,2023-24,Golden State Warriors,NBA,(TW),/players/s/spencpa01.html
21,2010-11,San Antonio Spurs,NBA,"$3,400,000",/players/s/splitti01.html
22,2011-12,San Antonio Spurs,NBA,"$3,672,000",/players/s/splitti01.html
23,2012-13,San Antonio Spurs,NBA,"$3,944,000",/players/s/splitti01.html
24,2013-14,San Antonio Spurs,NBA,"$10,000,000",/players/s/splitti01.html
25,2014-15,San Antonio Spurs,NBA,"$9,250,000",/players/s/splitti01.html
26,2015-16,Atlanta Hawks,NBA,"$8,500,000",/players/s/splitti01.html
27,2016-17,Philadelphia 76ers,NBA,"$8,550,000",/players/s/splitti01.html
28,1992-93,Golden State Warriors,NBA,"$550,000",/players/s/sprewla01.html
29,1993-94,Golden State Warriors,NBA,"$700,000",/players/s/sprewla01.html
30,1994-95,Golden State Warriors,NBA,"$890,000",/players/s/sprewla01.html
31,1995-96,Golden State Warriors,NBA,"$975,000",/players/s/sprewla01.html
32,1996-97,Golden State Warriors,NBA,"$7,000,000",/players/s/sprewla01.html
33,1997-98,Golden State Warriors,NBA,"$7,770,000",/players/s/sprewla01.html
34,1998-99,New York Knicks,NBA,"$8,300,000",/players/s/sprewla01.html
35,1999-00,New York Knicks,NBA,"$9,000,000",/players/s/sprewla01.html
36,2000-01,New York Knicks,NBA,"$10,125,000",/players/s/sprewla01.html
37,2001-02,New York Knicks,NBA,"$11,250,000",/players/s/sprewla01.html
38,2002-03,New York Knicks,NBA,"$12,375,000",/players/s/sprewla01.html
39,2003-04,Minnesota Timberwolves,NBA,"$13,500,000",/players/s/sprewla01.html
40,2004-05,Minnesota Timberwolves,NBA,"$14,625,000",/players/s/sprewla01.html
41,1984-85,Los Angeles Lakers,NBA,"$90,000",/players/s/sprigla01.html
42,1985-86,Los Angeles Lakers,NBA,"$135,000",/players/s/sprigla01.html
43,2021-22,Philadelphia 76ers,NBA,"$2,023,680",/players/s/sprinja01.html
44,2022-23,Philadelphia 76ers,NBA,"$2,125,200",/players/s/sprinja01.html
45,2023-24,Boston Celtics,NBA,"$2,226,240",/players/s/sprinja01.html
46,1995-96,Philadelphia 76ers,NBA,"$1,987,000",/players/s/stackje01.html
47,1996-97,Philadelphia 76ers,NBA,"$2,286,000",/players/s/stackje01.html
48,1997-98,Philadelphia 76ers,NBA,"$2,583,360",/players/s/stackje01.html
49,1998-99,Detroit Pistons,NBA,"$3,887,000",/players/s/stackje01.html
50,1999-00,Detroit Pistons,NBA,"$4,781,250",/players/s/stackje01.html
51,2000-01,Detroit Pistons,NBA,"$5,310,000",/players/s/stackje01.html
52,2001-02,Detroit Pistons,NBA,"$5,843,750",/players/s/stackje01.html
53,2002-03,Washington Wizards,NBA,"$6,375,000",/players/s/stackje01.html
54,2003-04,Washington Wizards,NBA,"$6,906,250",/players/s/stackje01.html
55,2004-05,Dallas Mavericks,NBA,"$7,437,500",/players/s/stackje01.html
56,2005-06,Dallas Mavericks,NBA,"$8,367,187",/players/s/stackje01.html
57,2006-07,Dallas Mavericks,NBA,"$9,296,874",/players/s/stackje01.html
58,2007-08,Dallas Mavericks,NBA,"$6,750,000",/players/s/stackje01.html
59,2008-09,Dallas Mavericks,NBA,"$7,000,000",/players/s/stackje01.html
60,2009-10,Memphis Grizzlies,NBA,"$2,000,000",/players/s/stackje01.html
61,2009-10,Milwaukee Bucks,NBA,"$668,598",/players/s/stackje01.html
62,2010-11,Miami Heat,NBA,"$222,712",/players/s/stackje01.html
63,2011-12,Atlanta Hawks,NBA,"$1,352,181",/players/s/stackje01.html
64,2012-13,Brooklyn Nets,NBA,"$1,352,181",/players/s/stackje01.html
65,1998-99,Cleveland Cavaliers,NBA,"$287,500",/players/s/stackry01.html
66,1999-00,Cleveland Cavaliers,NBA,"$385,000",/players/s/stackry01.html
67,,,,,/players/s/stacoke01.html
68,2020-21,Indiana Pacers,NBA,< $Minimum,/players/s/stanlca01.html
69,2021-22,Detroit Pistons,NBA,"$256,734",/players/s/stanlca01.html
70,1985-86,Indiana Pacers,NBA,"$160,000",/players/s/stanste01.html
71,1988-89,Golden State Warriors,NBA,"$100,000",/players/s/starkjo01.html
72,1990-91,New York Knicks,NBA,"$120,000",/players/s/starkjo01.html
73,1991-92,New York Knicks,NBA,"$400,000",/players/s/starkjo01.html
74,1992-93,New York Knicks,NBA,"$600,000",/players/s/starkjo01.html
75,1993-94,New York Knicks,NBA,"$1,112,000",/players/s/starkjo01.html
76,1994-95,New York Knicks,NBA,"$1,362,500",/players/s/starkjo01.html
77,1995-96,New York Knicks,NBA,"$1,613,000",/players/s/starkjo01.html
78,1996-97,New York Knicks,NBA,"$1,913,000",/players/s/starkjo01.html
79,1997-98,New York Knicks,NBA,"$5,112,500",/players/s/starkjo01.html
80,1998-99,Golden State Warriors,NBA,"$4,000,000",/players/s/starkjo01.html
81,1999-00,Chicago Bulls,NBA,"$4,000,000",/players/s/starkjo01.html
82,2000-01,Utah Jazz,NBA,"$2,250,000",/players/s/starkjo01.html
83,2001-02,Utah Jazz,NBA,"$2,475,000",/players/s/starkjo01.html
84,2014-15,Sacramento Kings,NBA,"$2,745,840",/players/s/stausni01.html
